,Facility.Name,Facility.City,Facility.State Name,Facility.State Abbreviation,Rating.Effectiveness,Procedure.Hip Knee.Cost,Rating.Mortality,Rating.Overall,Procedure.Heart Failure.Value,Rating.Timeliness,Rating.Experience,Procedure.Hip Knee.Quality,Procedure.Heart Attack.Quality,Procedure.Heart Failure.Quality,Procedure.Hip Knee.Value,Procedure.Pneumonia.Quality,Rating.Imaging,Facility.Type,Rating.Safety,Rating.Readmission,Procedure.Heart Attack.Value,Procedure.Pneumonia.Value,Procedure.Pneumonia.Cost,Procedure.Heart Attack.Cost,Procedure.Heart Failure.Cost
0,Providence Alaska Medical Center,Anchorage,Alaska,AK,Below,19274,Same,4,Lower,Below,Same,Average,Average,Average,Lower,Average,Above,Church,Above,Above,Average,Lower,14136,23925,15169
1,Fairbanks Memorial Hospital,Fairbanks,Alaska,AK,Same,17262,Same,5,Lower,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Lower,14328,23917,13287
2,Tucson Medical Center,Tucson,Arizona,AZ,Same,18934,Same,3,Higher,Below,Below,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Higher,19836,24370,18440
3,Verde Valley Medical Center,Cottonwood,Arizona,AZ,Same,19306,Same,5,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,18286,22775,18014
4,St. Mary's Hospital,Tucson,Arizona,AZ,Same,24843,Below,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,17563,23302,16213
5,Yavapai Regional Medical Center,Prescott,Arizona,AZ,Same,22294,Below,3,Average,Same,Same,Average,Average,Average,Average,Average,Below,Private,Above,Above,Average,Average,16965,23918,16156
6,Yuma Regional Medical Center,Yuma,Arizona,AZ,Same,22354,Same,3,Average,Below,Below,Average,Average,Average,Average,Average,Below,Private,Above,Above,Average,Higher,18413,24631,16966
7,John C. Lincoln North Mountain Hospital,Phoenix,Arizona,AZ,Same,22590,Same,2,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Higher,19963,24620,18890
8,Flagstaff Medical Center,Flagstaff,Arizona,AZ,Same,18887,Same,5,Average,Below,Same,Average,Average,Average,Lower,Better,Above,Private,Same,Above,Average,Average,16771,24350,17208
9,St. Joseph's Hospital And Medical Center,Phoenix,Arizona,AZ,Same,22659,Same,2,Average,Below,Same,Average,Average,Average,Average,Average,Same,Church,Below,Above,Higher,Higher,20066,27437,18325
10,Abrazo Central Campus,Phoenix,Arizona,AZ,Same,21976,Same,3,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Above,Average,Average,17993,25769,18472
11,Scottsdale Osborn Medical Center,Scottsdale,Arizona,AZ,Same,19926,Same,4,Average,Above,Below,Average,Average,Average,Lower,Average,Above,Proprietary,Above,Above,Average,Average,17473,24399,16941
12,Kingman Regional Medical Center,Kingman,Arizona,AZ,Same,21752,Same,2,Average,Same,Same,Average,Average,Average,Average,Average,Below,Government,Below,Above,Higher,Lower,15940,26281,16773
13,Summit Healthcare Regional Medical Center,Show Low,Arizona,AZ,Same,21120,Same,4,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,16855,24708,15364
14,Banner - University Medical Center Tucson Campus,Tucson,Arizona,AZ,Same,19496,Same,2,Average,Below,Below,Average,Average,Average,Lower,Average,Above,Private,Below,Below,Average,Average,17265,23106,17069
